Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total
1,=,Keung To - 追,33,1,(x32),"44,613","+3,314","318,089","-1,701","1,700,788"
2,+1,Keung To - 風雨不改 (電影《阿媽有咗第二個》主題曲),244,1,(x127),"43,750","+3,377","305,729",+191,"11,024,340"
3,-1,Anson Lo 盧瀚霆 - MONEY (Anson Lo x Dear Jane) (w/ Dear Jane),8,2,(x1),"41,850",+920,"291,666","+6,526","326,990"
4,+1,"Keung To - Dear My Friend,",618,1,(x50),"37,990","+3,509","266,219",-710,"20,354,908"
5,-1,Anson Lo 盧瀚霆 - MONEY,55,1,(x13),"37,170",+169,"271,742","-5,249","2,543,453"
6,=,JISOO - FLOWER,18,2,(x1),"36,789","+2,638","271,955","+1,725","698,588"
7,=,IVE - I AM,8,4,,"35,046","+2,631","257,797","+14,758","278,085"
8,=,Keung To - 作品的說話,352,1,(x74),"34,783","+3,148","241,760",-388,"13,761,628"
9,=,Anson Lo 盧瀚霆 - 永順街39號,157,1,(x37),"32,080",+680,"230,357","-3,420","6,453,107"
10,=,Coca-Cola Hong Kong - 無糖可口可樂 X 姜濤 • 無可取代,33,4,,"30,475","+2,657","213,912",-795,"1,257,298"
11,+1,陳卓賢 Ian - 抱抱無尾熊,6,10,,"27,706","+3,502","171,286","+27,706","171,286"
12,+2,YOASOBI - アイドル,6,12,,"25,855","+4,643","125,434","+25,855","125,434"
13,=,陳卓賢 Ian - 再見 寧靜海,90,1,(x1),"25,689","+2,284","177,988","+3,974","2,817,289"
14,-3,Anson Lo 盧瀚霆 - 偷情,89,3,(x3),"24,984",+666,"180,553","-2,688","3,131,021"
15,=,Keung To - 鏡中鏡,471,2,(x7),"23,165","+2,107","161,889",-932,"14,494,569"
16,=,IVE - Kitsch,22,9,,"21,741","+2,388","154,214","+2,555","431,337"
17,=,陳卓賢 Ian - 地球上的最後一朵花,169,2,(x1),"20,480","+1,742","142,754","+2,793","4,139,765"
